,city,region,country,lng,lat,population,continent
6524,San Andrés Huayápam,Oaxaca,MX,-96.6667,17.1,5336,AS
6525,San Andrés Itzapa,Chimaltenango,GT,-90.85,14.6167,31956,AS
6526,San Andrés Timilpan,México,MX,-99.7333,19.8667,14335,AF
6527,San Andrés Tuxtla,Veracruz,MX,-95.2126,18.4487,164834,SA
6528,San Andrés Villa Seca,Retalhuleu,GT,-91.5833,14.5667,22245,NA
6529,San Andrés Xecul,Totonicapán,GT,-91.4833,14.9,29849,SA
6530,San Andrés de Sotavento,Córdoba,CO,-75.5086,9.1453,47282,SA
6531,San Antero,Córdoba,CO,-75.7603,9.3775,33662,NA
6532,San Antonino Castillo Velasco,Oaxaca,MX,-96.6839,16.8031,6009,NA
6533,San Antonino Monteverde,Oaxaca,MX,-97.7208,17.5322,7305,NA
6534,San Antonio,Quezon,PH,121.3,13.9,35891,NA
6535,San Antonio,Valparaíso,CL,-71.6132,-33.5809,86239,NA
6536,San Antonio La Paz,El Progreso,GT,-90.2833,14.75,15142,NA
6537,San Antonio Oeste,Río Negro,AR,-64.95,-40.7333,16265,NA
6538,San Antonio Palopó,Sololá,GT,-91.1167,14.7,11728,SA
6539,San Antonio Sacatepéquez,San Marcos,GT,-91.7333,14.9667,19103,SA
6540,San Antonio de los Baños,Artemisa,CU,-82.4989,22.8889,33811,NA
6541,San Antonio de los Cobres,Salta,AR,-66.3192,-24.2256,5482,NA
6542,San Antonio del Sur,Guantánamo,CU,-74.8078,20.0569,26509,AS
6543,San Antonio del Táchira,Táchira,VE,-72.4431,7.8145,61630,SA
6544,San Bartolo,Totonicapán,GT,-91.4558,15.0844,12459,NA
6545,San Bartolo Tutotepec,Hidalgo,MX,-98.2,20.4,17837,SA
6546,San Benito Abad,Sucre,CO,-75.0264,8.9272,26595,NA
6547,San Bernardo,Nariño,CO,-77.0467,1.5164,21492,NA
6548,San Bernardo,Región Metropolitana,CL,-70.7167,-33.6,301313,NA
6549,San Bernardo del Viento,Córdoba,CO,-75.9544,9.355,36200,SA
